2025-03-23 07:51:10 - INFO - [INFO] rank3 training examples: [3, 7, 11, 15] ... [319987, 319991, 319995, 319999]| example_nums:80000 | training_steps:20000
... [319984, 319988, 319992, 319996]| example_nums:80000 | training_steps:20000
2025-03-23 07:51:10 - INFO - Total parameters: 2485473280
2025-03-23 07:51:10 - INFO - Trainable parameters: 13844480
2025-03-23 07:51:10 - INFO - Embedding parameters: 525336576
2025-03-23 07:51:10 - INFO - non-Embedding parameters: 1960136704
2025-03-23 07:51:10 - INFO - Embedding parameters percentage: 21.14%
2025-03-23 07:51:10 - INFO - Trainable parameters percentage: 0.56%
2025-03-23 07:52:59 - INFO - {'run_time(hours)': 0.028704567617840238, 'total_steps': 20000, 'steps': 100.0, 'training_loss': {'ae_loss': 0.98046875, 'lm_loss': 2.328125}, 'learning_rate': 3.322333333333335e-05}
2025-03-23 08:14:36 - INFO - {'run_time(hours)': 0.3888604292604658, 'total_steps': 20000, 'steps': 1300.0, 'training_loss': {'ae_loss': 0.1357421875, 'lm_loss': 2.28125}, 'learning_rate': 0.0001}
2025-03-23 08:16:26 - INFO - {'run_time(hours)': 0.4195385159386529, 'total_steps': 20000, 'steps': 1400.0, 'training_loss': {'ae_loss': 0.02734375, 'lm_loss': 2.609375}, 'learning_rate': 0.0001}
2025-03-23 08:18:14 - INFO - {'run_time(hours)': 0.4495222212870916, 'total_steps': 20000, 'steps': 1500.0, 'training_loss': {'ae_loss': 0.050048828125, 'lm_loss': 2.859375}, 'learning_rate': 0.0001}
2025-03-23 08:20:04 - INFO - {'run_time(hours)': 0.48010086397329965, 'total_steps': 20000, 'steps': 1600.0, 'training_loss': {'ae_loss': 0.0400390625, 'lm_loss': 2.4375}, 'learning_rate': 0.0001}
2025-03-23 08:21:54 - INFO - {'run_time(hours)': 0.510627174642351, 'total_steps': 20000, 'steps': 1700.0, 'training_loss': {'ae_loss': 0.045166015625, 'lm_loss': 2.09375}, 'learning_rate': 0.0001}
2025-03-23 08:23:40 - INFO - {'run_time(hours)': 0.5400416454341677, 'total_steps': 20000, 'steps': 1800.0, 'training_loss': {'ae_loss': 0.0224609375, 'lm_loss': 2.78125}, 'learning_rate': 0.0001}
2025-03-23 08:25:30 - INFO - {'run_time(hours)': 0.5706877619028091, 'total_steps': 20000, 'steps': 1900.0, 'training_loss': {'ae_loss': 0.0380859375, 'lm_loss': 3.03125}, 'learning_rate': 0.0001}
2025-03-23 08:27:16 - INFO - {'run_time(hours)': 0.5999900092681248, 'total_steps': 20000, 'steps': 2000.0, 'training_loss': {'ae_loss': 0.0294189453125, 'lm_loss': 2.734375}, 'learning_rate': 0.0001}
2025-03-23 08:29:05 - INFO - {'run_time(hours)': 0.630376634200414, 'total_steps': 20000, 'steps': 2100.0, 'training_loss': {'ae_loss': 0.11962890625, 'lm_loss': 1.734375}, 'learning_rate': 0.0001}
2025-03-23 08:30:53 - INFO - {'run_time(hours)': 0.6601658578051461, 'total_steps': 20000, 'steps': 2200.0, 'training_loss': {'ae_loss': 0.1572265625, 'lm_loss': 1.953125}, 'learning_rate': 0.0001}
2025-03-23 08:32:40 - INFO - {'run_time(hours)': 0.6898901926808887, 'total_steps': 20000, 'steps': 2300.0, 'training_loss': {'ae_loss': 0.036376953125, 'lm_loss': 3.140625}, 'learning_rate': 0.0001}
2025-03-23 08:34:30 - INFO - {'run_time(hours)': 0.7206189977460438, 'total_steps': 20000, 'steps': 2400.0, 'training_loss': {'ae_loss': 0.061767578125, 'lm_loss': 0.69140625}, 'learning_rate': 0.0001}
2025-03-23 08:36:18 - INFO - {'run_time(hours)': 0.7506581185261408, 'total_steps': 20000, 'steps': 2500.0, 'training_loss': {'ae_loss': 0.03173828125, 'lm_loss': 2.71875}, 'learning_rate': 0.0001}
2025-03-23 08:38:06 - INFO - {'run_time(hours)': 0.7806096197499169, 'total_steps': 20000, 'steps': 2600.0, 'training_loss': {'ae_loss': 0.01708984375, 'lm_loss': 3.125}, 'learning_rate': 0.0001}
2025-03-23 08:39:55 - INFO - {'run_time(hours)': 0.8108486654361089, 'total_steps': 20000, 'steps': 2700.0, 'training_loss': {'ae_loss': 0.0179443359375, 'lm_loss': 2.359375}, 'learning_rate': 0.0001}
2025-03-23 08:41:42 - INFO - {'run_time(hours)': 0.8404787878195444, 'total_steps': 20000, 'steps': 2800.0, 'training_loss': {'ae_loss': 0.042236328125, 'lm_loss': 2.890625}, 'learning_rate': 0.0001}
2025-03-23 08:43:30 - INFO - {'run_time(hours)': 0.8707109355926513, 'total_steps': 20000, 'steps': 2900.0, 'training_loss': {'ae_loss': 0.0177001953125, 'lm_loss': 1.96875}, 'learning_rate': 0.0001}
2025-03-23 08:45:19 - INFO - {'run_time(hours)': 0.9007730398575465, 'total_steps': 20000, 'steps': 3000.0, 'training_loss': {'ae_loss': 0.0400390625, 'lm_loss': 3.0}, 'learning_rate': 0.0001}
2025-03-23 08:47:06 - INFO - {'run_time(hours)': 0.930610911515024, 'total_steps': 20000, 'steps': 3100.0, 'training_loss': {'ae_loss': 0.025390625, 'lm_loss': 2.375}, 'learning_rate': 0.0001}
2025-03-23 08:48:56 - INFO - {'run_time(hours)': 0.9610039532184601, 'total_steps': 20000, 'steps': 3200.0, 'training_loss': {'ae_loss': 0.057861328125, 'lm_loss': 4.5625}, 'learning_rate': 0.0001}
2025-03-23 08:50:44 - INFO - {'run_time(hours)': 0.99107423570421, 'total_steps': 20000, 'steps': 3300.0, 'training_loss': {'ae_loss': 0.0277099609375, 'lm_loss': 2.765625}, 'learning_rate': 0.0001}
2025-03-23 08:52:31 - INFO - {'run_time(hours)': 1.020898898773723, 'total_steps': 20000, 'steps': 3400.0, 'training_loss': {'ae_loss': 0.05126953125, 'lm_loss': 2.3125}, 'learning_rate': 0.0001}
2025-03-23 08:54:19 - INFO - {'run_time(hours)': 1.05073502322038, 'total_steps': 20000, 'steps': 3500.0, 'training_loss': {'ae_loss': 0.0299072265625, 'lm_loss': 1.03125}, 'learning_rate': 0.0001}
2025-03-23 08:56:09 - INFO - {'run_time(hours)': 1.0812841388252046, 'total_steps': 20000, 'steps': 3600.0, 'training_loss': {'ae_loss': 0.06103515625, 'lm_loss': 1.390625}, 'learning_rate': 0.0001}
2025-03-23 08:57:56 - INFO - {'run_time(hours)': 1.1112199198537402, 'total_steps': 20000, 'steps': 3700.0, 'training_loss': {'ae_loss': 0.052490234375, 'lm_loss': 2.84375}, 'learning_rate': 0.0001}
2025-03-23 08:59:46 - INFO - {'run_time(hours)': 1.141611808405982, 'total_steps': 20000, 'steps': 3800.0, 'training_loss': {'ae_loss': 0.0208740234375, 'lm_loss': 2.640625}, 'learning_rate': 0.0001}
2025-03-23 09:01:34 - INFO - {'run_time(hours)': 1.1716985062095855, 'total_steps': 20000, 'steps': 3900.0, 'training_loss': {'ae_loss': 0.05712890625, 'lm_loss': 1.25}, 'learning_rate': 0.0001}
2025-03-23 09:03:19 - INFO - {'run_time(hours)': 1.2008054798179202, 'total_steps': 20000, 'steps': 4000.0, 'training_loss': {'ae_loss': 0.051025390625, 'lm_loss': 2.625}, 'learning_rate': 0.0001}
2025-03-23 09:05:09 - INFO - {'run_time(hours)': 1.2313663260804282, 'total_steps': 20000, 'steps': 4100.0, 'training_loss': {'ae_loss': 0.01953125, 'lm_loss': 3.0}, 'learning_rate': 0.0001}
2025-03-23 09:06:57 - INFO - {'run_time(hours)': 1.261358183092541, 'total_steps': 20000, 'steps': 4200.0, 'training_loss': {'ae_loss': 0.0517578125, 'lm_loss': 0.984375}, 'learning_rate': 0.0001}
2025-03-23 09:08:44 - INFO - {'run_time(hours)': 1.2912492527564368, 'total_steps': 20000, 'steps': 4300.0, 'training_loss': {'ae_loss': 0.058837890625, 'lm_loss': 1.8359375}, 'learning_rate': 0.0001}
2025-03-23 09:10:32 - INFO - {'run_time(hours)': 1.3210883096853892, 'total_steps': 20000, 'steps': 4400.0, 'training_loss': {'ae_loss': 0.013671875, 'lm_loss': 2.75}, 'learning_rate': 0.0001}
2025-03-23 09:12:19 - INFO - {'run_time(hours)': 1.3508961301379734, 'total_steps': 20000, 'steps': 4500.0, 'training_loss': {'ae_loss': 0.059814453125, 'lm_loss': 2.125}, 'learning_rate': 0.0001}
2025-03-23 09:14:08 - INFO - {'run_time(hours)': 1.3812604984972212, 'total_steps': 20000, 'steps': 4600.0, 'training_loss': {'ae_loss': 0.03662109375, 'lm_loss': 1.9296875}, 'learning_rate': 0.0001}
2025-03-23 09:15:56 - INFO - {'run_time(hours)': 1.4111806750297546, 'total_steps': 20000, 'steps': 4700.0, 'training_loss': {'ae_loss': 0.0849609375, 'lm_loss': 2.984375}, 'learning_rate': 0.0001}
2025-03-23 09:17:43 - INFO - {'run_time(hours)': 1.4408576933542887, 'total_steps': 20000, 'steps': 4800.0, 'training_loss': {'ae_loss': 0.01458740234375, 'lm_loss': 2.46875}, 'learning_rate': 0.0001}
2025-03-23 09:19:30 - INFO - {'run_time(hours)': 1.4704397279024124, 'total_steps': 20000, 'steps': 4900.0, 'training_loss': {'ae_loss': 0.0390625, 'lm_loss': 2.5625}, 'learning_rate': 0.0001}
2025-03-23 09:21:16 - INFO - {'run_time(hours)': 1.5000390578640832, 'total_steps': 20000, 'steps': 5000.0, 'training_loss': {'ae_loss': 0.0419921875, 'lm_loss': 2.359375}, 'learning_rate': 0.0001}
2025-03-23 09:23:03 - INFO - {'run_time(hours)': 1.5298285457160739, 'total_steps': 20000, 'steps': 5100.0, 'training_loss': {'ae_loss': 0.0478515625, 'lm_loss': 3.1875}, 'learning_rate': 0.0001}
2025-03-23 09:24:53 - INFO - {'run_time(hours)': 1.5604092220465342, 'total_steps': 20000, 'steps': 5200.0, 'training_loss': {'ae_loss': 0.057861328125, 'lm_loss': 1.5625}, 'learning_rate': 0.0001}
2025-03-23 09:26:40 - INFO - {'run_time(hours)': 1.5900382828712463, 'total_steps': 20000, 'steps': 5300.0, 'training_loss': {'ae_loss': 0.054443359375, 'lm_loss': 0.81640625}, 'learning_rate': 0.0001}
2025-03-23 09:28:28 - INFO - {'run_time(hours)': 1.6200702589088016, 'total_steps': 20000, 'steps': 5400.0, 'training_loss': {'ae_loss': 0.03955078125, 'lm_loss': 0.75}, 'learning_rate': 0.0001}
2025-03-23 09:30:18 - INFO - {'run_time(hours)': 1.6504817465278838, 'total_steps': 20000, 'steps': 5500.0, 'training_loss': {'ae_loss': 0.03515625, 'lm_loss': 2.09375}, 'learning_rate': 0.0001}
2025-03-23 09:32:05 - INFO - {'run_time(hours)': 1.6802642432848613, 'total_steps': 20000, 'steps': 5600.0, 'training_loss': {'ae_loss': 0.0225830078125, 'lm_loss': 1.640625}, 'learning_rate': 0.0001}
2025-03-23 09:33:50 - INFO - {'run_time(hours)': 1.7094878265592788, 'total_steps': 20000, 'steps': 5700.0, 'training_loss': {'ae_loss': 0.025634765625, 'lm_loss': 2.3125}, 'learning_rate': 0.0001}
2025-03-23 09:35:38 - INFO - {'run_time(hours)': 1.7394676479366091, 'total_steps': 20000, 'steps': 5800.0, 'training_loss': {'ae_loss': 0.03271484375, 'lm_loss': 2.9375}, 'learning_rate': 0.0001}
2025-03-23 09:37:23 - INFO - {'run_time(hours)': 1.7687396385272345, 'total_steps': 20000, 'steps': 5900.0, 'training_loss': {'ae_loss': 0.04443359375, 'lm_loss': 2.890625}, 'learning_rate': 0.0001}
2025-03-23 09:39:10 - INFO - {'run_time(hours)': 1.798283388548427, 'total_steps': 20000, 'steps': 6000.0, 'training_loss': {'ae_loss': 0.025634765625, 'lm_loss': 2.34375}, 'learning_rate': 0.0001}
2025-03-23 09:40:58 - INFO - {'run_time(hours)': 1.8282929040326013, 'total_steps': 20000, 'steps': 6100.0, 'training_loss': {'ae_loss': 0.0198974609375, 'lm_loss': 2.09375}, 'learning_rate': 0.0001}
2025-03-23 09:42:47 - INFO - {'run_time(hours)': 1.858580382929908, 'total_steps': 20000, 'steps': 6200.0, 'training_loss': {'ae_loss': 0.0262451171875, 'lm_loss': 3.59375}, 'learning_rate': 0.0001}
2025-03-23 09:44:35 - INFO - {'run_time(hours)': 1.8885298091835445, 'total_steps': 20000, 'steps': 6300.0, 'training_loss': {'ae_loss': 0.0302734375, 'lm_loss': 2.125}, 'learning_rate': 0.0001}
2025-03-23 09:46:23 - INFO - {'run_time(hours)': 1.9185510335365932, 'total_steps': 20000, 'steps': 6400.0, 'training_loss': {'ae_loss': 0.01458740234375, 'lm_loss': 2.765625}, 'learning_rate': 0.0001}
2025-03-23 09:48:11 - INFO - {'run_time(hours)': 1.9487309430705178, 'total_steps': 20000, 'steps': 6500.0, 'training_loss': {'ae_loss': 0.0252685546875, 'lm_loss': 2.703125}, 'learning_rate': 0.0001}
2025-03-23 09:50:01 - INFO - {'run_time(hours)': 1.9790957162115308, 'total_steps': 20000, 'steps': 6600.0, 'training_loss': {'ae_loss': 0.03125, 'lm_loss': 2.96875}, 'learning_rate': 0.0001}
2025-03-23 09:51:50 - INFO - {'run_time(hours)': 2.009453538391325, 'total_steps': 20000, 'steps': 6700.0, 'training_loss': {'ae_loss': 0.03125, 'lm_loss': 2.796875}, 'learning_rate': 0.0001}
2025-03-23 09:53:38 - INFO - {'run_time(hours)': 2.0395114174816342, 'total_steps': 20000, 'steps': 6800.0, 'training_loss': {'ae_loss': 0.0167236328125, 'lm_loss': 2.921875}, 'learning_rate': 0.0001}
2025-03-23 09:55:24 - INFO - {'run_time(hours)': 2.0690343152814443, 'total_steps': 20000, 'steps': 6900.0, 'training_loss': {'ae_loss': 0.046630859375, 'lm_loss': 2.296875}, 'learning_rate': 0.0001}
2025-03-23 09:57:12 - INFO - {'run_time(hours)': 2.098887150618765, 'total_steps': 20000, 'steps': 7000.0, 'training_loss': {'ae_loss': 0.05078125, 'lm_loss': 1.34375}, 'learning_rate': 0.0001}
2025-03-23 09:58:59 - INFO - {'run_time(hours)': 2.128527262541983, 'total_steps': 20000, 'steps': 7100.0, 'training_loss': {'ae_loss': 0.0184326171875, 'lm_loss': 2.625}, 'learning_rate': 0.0001}
2025-03-23 10:00:47 - INFO - {'run_time(hours)': 2.1586071058776644, 'total_steps': 20000, 'steps': 7200.0, 'training_loss': {'ae_loss': 0.029541015625, 'lm_loss': 3.328125}, 'learning_rate': 0.0001}
2025-03-23 10:02:32 - INFO - {'run_time(hours)': 2.1879188632302813, 'total_steps': 20000, 'steps': 7300.0, 'training_loss': {'ae_loss': 0.0291748046875, 'lm_loss': 2.90625}, 'learning_rate': 0.0001}
2025-03-23 10:04:24 - INFO - {'run_time(hours)': 2.218791787293222, 'total_steps': 20000, 'steps': 7400.0, 'training_loss': {'ae_loss': 0.0157470703125, 'lm_loss': 2.546875}, 'learning_rate': 0.0001}
2025-03-23 10:06:12 - INFO - {'run_time(hours)': 2.2488114473554823, 'total_steps': 20000, 'steps': 7500.0, 'training_loss': {'ae_loss': 0.0169677734375, 'lm_loss': 2.34375}, 'learning_rate': 0.0001}
2025-03-23 10:08:01 - INFO - {'run_time(hours)': 2.2792484377490148, 'total_steps': 20000, 'steps': 7600.0, 'training_loss': {'ae_loss': 0.04638671875, 'lm_loss': 2.6875}, 'learning_rate': 0.0001}
2025-03-23 10:09:48 - INFO - {'run_time(hours)': 2.3090039371119606, 'total_steps': 20000, 'steps': 7700.0, 'training_loss': {'ae_loss': 0.0242919921875, 'lm_loss': 2.421875}, 'learning_rate': 0.0001}
2025-03-23 10:11:34 - INFO - {'run_time(hours)': 2.338369091881646, 'total_steps': 20000, 'steps': 7800.0, 'training_loss': {'ae_loss': 0.0277099609375, 'lm_loss': 2.734375}, 'learning_rate': 0.0001}
2025-03-23 10:13:22 - INFO - {'run_time(hours)': 2.3683066385322147, 'total_steps': 20000, 'steps': 7900.0, 'training_loss': {'ae_loss': 0.0223388671875, 'lm_loss': 3.0625}, 'learning_rate': 0.0001}
2025-03-23 10:15:10 - INFO - {'run_time(hours)': 2.3984847468800017, 'total_steps': 20000, 'steps': 8000.0, 'training_loss': {'ae_loss': 0.0203857421875, 'lm_loss': 1.7109375}, 'learning_rate': 0.0001}
2025-03-23 10:17:00 - INFO - {'run_time(hours)': 2.4289978639947045, 'total_steps': 20000, 'steps': 8100.0, 'training_loss': {'ae_loss': 0.0751953125, 'lm_loss': 1.65625}, 'learning_rate': 0.0001}
2025-03-23 10:18:47 - INFO - {'run_time(hours)': 2.458743305736118, 'total_steps': 20000, 'steps': 8200.0, 'training_loss': {'ae_loss': 0.0069580078125, 'lm_loss': 2.65625}, 'learning_rate': 0.0001}
2025-03-23 10:20:35 - INFO - {'run_time(hours)': 2.488593523171213, 'total_steps': 20000, 'steps': 8300.0, 'training_loss': {'ae_loss': 0.0126953125, 'lm_loss': 2.046875}, 'learning_rate': 0.0001}
2025-03-23 10:22:24 - INFO - {'run_time(hours)': 2.5189585459894603, 'total_steps': 20000, 'steps': 8400.0, 'training_loss': {'ae_loss': 0.012451171875, 'lm_loss': 3.109375}, 'learning_rate': 0.0001}
2025-03-23 10:24:14 - INFO - {'run_time(hours)': 2.5493719281752902, 'total_steps': 20000, 'steps': 8500.0, 'training_loss': {'ae_loss': 0.0113525390625, 'lm_loss': 2.234375}, 'learning_rate': 0.0001}
2025-03-23 10:26:03 - INFO - {'run_time(hours)': 2.579769401351611, 'total_steps': 20000, 'steps': 8600.0, 'training_loss': {'ae_loss': 0.0172119140625, 'lm_loss': 2.796875}, 'learning_rate': 0.0001}
2025-03-23 10:27:52 - INFO - {'run_time(hours)': 2.6100738742616443, 'total_steps': 20000, 'steps': 8700.0, 'training_loss': {'ae_loss': 0.00579833984375, 'lm_loss': 2.1875}, 'learning_rate': 0.0001}
2025-03-23 10:29:40 - INFO - {'run_time(hours)': 2.640031431714694, 'total_steps': 20000, 'steps': 8800.0, 'training_loss': {'ae_loss': 0.01422119140625, 'lm_loss': 1.6640625}, 'learning_rate': 0.0001}
2025-03-23 10:31:26 - INFO - {'run_time(hours)': 2.669325518541866, 'total_steps': 20000, 'steps': 8900.0, 'training_loss': {'ae_loss': 0.01123046875, 'lm_loss': 2.640625}, 'learning_rate': 0.0001}
2025-03-23 10:33:14 - INFO - {'run_time(hours)': 2.699558023876614, 'total_steps': 20000, 'steps': 9000.0, 'training_loss': {'ae_loss': 0.01055908203125, 'lm_loss': 3.0625}, 'learning_rate': 0.0001}
2025-03-23 10:35:02 - INFO - {'run_time(hours)': 2.729382236268785, 'total_steps': 20000, 'steps': 9100.0, 'training_loss': {'ae_loss': 0.004486083984375, 'lm_loss': 2.953125}, 'learning_rate': 0.0001}
2025-03-23 10:36:51 - INFO - {'run_time(hours)': 2.7596792376703685, 'total_steps': 20000, 'steps': 9200.0, 'training_loss': {'ae_loss': 0.00433349609375, 'lm_loss': 2.53125}, 'learning_rate': 0.0001}
2025-03-23 10:38:39 - INFO - {'run_time(hours)': 2.7897793593009315, 'total_steps': 20000, 'steps': 9300.0, 'training_loss': {'ae_loss': 0.006439208984375, 'lm_loss': 2.09375}, 'learning_rate': 0.0001}
2025-03-23 10:40:28 - INFO - {'run_time(hours)': 2.8199242581261528, 'total_steps': 20000, 'steps': 9400.0, 'training_loss': {'ae_loss': 0.00811767578125, 'lm_loss': 2.390625}, 'learning_rate': 0.0001}
2025-03-23 10:42:15 - INFO - {'run_time(hours)': 2.8498227367136213, 'total_steps': 20000, 'steps': 9500.0, 'training_loss': {'ae_loss': 0.0272216796875, 'lm_loss': 1.375}, 'learning_rate': 0.0001}
2025-03-23 10:44:07 - INFO - {'run_time(hours)': 2.8809606820344924, 'total_steps': 20000, 'steps': 9600.0, 'training_loss': {'ae_loss': 0.00927734375, 'lm_loss': 2.375}, 'learning_rate': 0.0001}
2025-03-23 10:45:56 - INFO - {'run_time(hours)': 2.911077861984571, 'total_steps': 20000, 'steps': 9700.0, 'training_loss': {'ae_loss': 0.0017547607421875, 'lm_loss': 2.84375}, 'learning_rate': 0.0001}
2025-03-23 10:47:45 - INFO - {'run_time(hours)': 2.9412762227985594, 'total_steps': 20000, 'steps': 9800.0, 'training_loss': {'ae_loss': 0.0101318359375, 'lm_loss': 2.34375}, 'learning_rate': 0.0001}
2025-03-23 10:49:32 - INFO - {'run_time(hours)': 2.971183044049475, 'total_steps': 20000, 'steps': 9900.0, 'training_loss': {'ae_loss': 0.013671875, 'lm_loss': 2.421875}, 'learning_rate': 0.0001}
2025-03-23 10:51:21 - INFO - {'run_time(hours)': 3.001275653905339, 'total_steps': 20000, 'steps': 10000.0, 'training_loss': {'ae_loss': 0.005523681640625, 'lm_loss': 2.015625}, 'learning_rate': 0.0001}
2025-03-23 10:53:09 - INFO - {'run_time(hours)': 3.031479011442926, 'total_steps': 20000, 'steps': 10100.0, 'training_loss': {'ae_loss': 0.0419921875, 'lm_loss': 2.28125}, 'learning_rate': 0.0001}
2025-03-23 10:54:58 - INFO - {'run_time(hours)': 3.0616640132665633, 'total_steps': 20000, 'steps': 10200.0, 'training_loss': {'ae_loss': 0.027099609375, 'lm_loss': 2.359375}, 'learning_rate': 0.0001}
2025-03-23 10:56:44 - INFO - {'run_time(hours)': 3.0910829138093523, 'total_steps': 20000, 'steps': 10300.0, 'training_loss': {'ae_loss': 0.006744384765625, 'lm_loss': 1.9453125}, 'learning_rate': 0.0001}
2025-03-23 10:58:32 - INFO - {'run_time(hours)': 3.1210139440827898, 'total_steps': 20000, 'steps': 10400.0, 'training_loss': {'ae_loss': 0.0205078125, 'lm_loss': 2.65625}, 'learning_rate': 0.0001}
2025-03-23 11:00:18 - INFO - {'run_time(hours)': 3.1506536549329756, 'total_steps': 20000, 'steps': 10500.0, 'training_loss': {'ae_loss': 0.003997802734375, 'lm_loss': 2.28125}, 'learning_rate': 0.0001}
2025-03-23 11:02:08 - INFO - {'run_time(hours)': 3.180995925863584, 'total_steps': 20000, 'steps': 10600.0, 'training_loss': {'ae_loss': 0.005126953125, 'lm_loss': 2.953125}, 'learning_rate': 0.0001}
2025-03-23 11:03:54 - INFO - {'run_time(hours)': 3.210624410178926, 'total_steps': 20000, 'steps': 10700.0, 'training_loss': {'ae_loss': 0.003570556640625, 'lm_loss': 2.546875}, 'learning_rate': 0.0001}
2025-03-23 11:05:48 - INFO - {'run_time(hours)': 3.2421142448981604, 'total_steps': 20000, 'steps': 10800.0, 'training_loss': {'ae_loss': 0.007293701171875, 'lm_loss': 3.046875}, 'learning_rate': 0.0001}
2025-03-23 11:07:35 - INFO - {'run_time(hours)': 3.272090212172932, 'total_steps': 20000, 'steps': 10900.0, 'training_loss': {'ae_loss': 0.0031890869140625, 'lm_loss': 2.40625}, 'learning_rate': 0.0001}
2025-03-23 11:09:24 - INFO - {'run_time(hours)': 3.3022007585896387, 'total_steps': 20000, 'steps': 11000.0, 'training_loss': {'ae_loss': 0.0125732421875, 'lm_loss': 2.109375}, 'learning_rate': 0.0001}
2025-03-23 11:11:11 - INFO - {'run_time(hours)': 3.331901184187995, 'total_steps': 20000, 'steps': 11100.0, 'training_loss': {'ae_loss': 0.025146484375, 'lm_loss': 1.90625}, 'learning_rate': 0.0001}
2025-03-23 11:12:58 - INFO - {'run_time(hours)': 3.3617394634087883, 'total_steps': 20000, 'steps': 11200.0, 'training_loss': {'ae_loss': 0.0137939453125, 'lm_loss': 3.40625}, 'learning_rate': 0.0001}
2025-03-23 11:14:47 - INFO - {'run_time(hours)': 3.391862658460935, 'total_steps': 20000, 'steps': 11300.0, 'training_loss': {'ae_loss': 0.00518798828125, 'lm_loss': 2.875}, 'learning_rate': 0.0001}
2025-03-23 11:16:35 - INFO - {'run_time(hours)': 3.422084394362238, 'total_steps': 20000, 'steps': 11400.0, 'training_loss': {'ae_loss': 0.0181884765625, 'lm_loss': 2.875}, 'learning_rate': 0.0001}
2025-03-23 11:18:24 - INFO - {'run_time(hours)': 3.452136736181047, 'total_steps': 20000, 'steps': 11500.0, 'training_loss': {'ae_loss': 0.00628662109375, 'lm_loss': 2.578125}, 'learning_rate': 0.0001}
2025-03-23 11:20:12 - INFO - {'run_time(hours)': 3.482145717740059, 'total_steps': 20000, 'steps': 11600.0, 'training_loss': {'ae_loss': 0.009765625, 'lm_loss': 0.91796875}, 'learning_rate': 0.0001}
2025-03-23 11:21:59 - INFO - {'run_time(hours)': 3.5119431785742443, 'total_steps': 20000, 'steps': 11700.0, 'training_loss': {'ae_loss': 0.011474609375, 'lm_loss': 3.453125}, 'learning_rate': 0.0001}
